t,pos_x,pos_y
1e-10,165.0,50.0
2e-10,182.5,50.0
3e-10,200.0,50.0
4e-10,215.0,50.0
5e-10,232.5,50.0
6e-10,245.0,50.0
7e-10,255.0,50.0
8e-10,262.5,50.0
9e-10,267.5,50.0
1e-09,270.0,47.5
1.1e-09,275.0,47.5
1.2e-09,277.5,47.5
1.3e-09,280.0,47.5
1.4e-09,285.0,47.5
1.5e-09,292.5,45.0
1.6e-09,302.5,45.0
1.7e-09,322.5,45.0
1.8e-09,352.5,47.5
1.9e-09,377.5,47.5
2e-09,400.0,47.5
2.1e-09,420.0,47.5
2.2e-09,437.5,47.5
2.3e-09,452.5,47.5
2.4e-09,470.0,47.5
2.5e-09,485.0,47.5
2.6e-09,500.0,47.5
2.7e-09,512.5,47.5
2.8e-09,525.0,47.5
2.9e-09,532.5,50.0
3e-09,540.0,50.0
3.1e-09,542.5,50.0
3.2e-09,542.5,50.0
3.3e-09,542.5,50.0
3.4e-09,542.5,50.0
3.5e-09,542.5,50.0
3.6e-09,542.5,50.0
3.7e-09,542.5,50.0
3.8e-09,542.5,50.0
3.9e-09,542.5,50.0
4e-09,542.5,50.0
4.1e-09,542.5,50.0
4.2e-09,542.5,50.0
4.3e-09,542.5,50.0
4.4e-09,542.5,50.0
4.5e-09,542.5,50.0
4.6e-09,542.5,50.0
4.7e-09,542.5,50.0
4.8e-09,542.5,50.0
4.9e-09,542.5,50.0
5e-09,542.5,50.0
5.1e-09,542.5,50.0
5.2e-09,542.5,50.0
5.3e-09,542.5,50.0
5.4e-09,542.5,50.0
5.5e-09,542.5,50.0
5.6e-09,542.5,50.0
5.7e-09,542.5,50.0
5.8e-09,542.5,50.0
5.9e-09,542.5,50.0
6e-09,542.5,50.0
6.1e-09,542.5,50.0
6.2e-09,542.5,50.0
6.3e-09,542.5,50.0
6.4e-09,542.5,50.0
6.5e-09,542.5,50.0
6.6e-09,542.5,50.0
6.7e-09,542.5,50.0
6.8e-09,542.5,50.0
6.9e-09,542.5,50.0
7e-09,542.5,50.0
7.1e-09,542.5,50.0
7.2e-09,542.5,50.0
7.3e-09,542.5,50.0
7.4e-09,542.5,50.0
7.5e-09,542.5,50.0
7.6e-09,542.5,50.0
7.7e-09,542.5,50.0
7.8e-09,542.5,50.0
7.9e-09,542.5,50.0
8e-09,542.5,50.0
8.1e-09,542.5,50.0
8.2e-09,542.5,50.0
8.3e-09,542.5,50.0
8.4e-09,542.5,50.0
8.5e-09,542.5,50.0
8.6e-09,542.5,50.0
8.7e-09,542.5,50.0
8.8e-09,542.5,50.0
8.9e-09,542.5,50.0
9e-09,542.5,50.0
9.1e-09,542.5,50.0
9.2e-09,542.5,50.0
9.3e-09,542.5,50.0
9.4e-09,542.5,50.0
9.5e-09,542.5,50.0
9.6e-09,542.5,50.0
9.7e-09,542.5,50.0
9.8e-09,542.5,50.0
9.9e-09,542.5,50.0
1e-08,542.5,50.0
