t,bp_number,bp_number_hh,bp_number_tt,loc_x_coarse,loc_x_fine,loc_y_fine
1e-11,1.0,1.0,0.0,1.5e-07,1.5107661649954595e-07,5.0061710178588104e-08
2e-11,1.0,1.0,0.0,1.525e-07,1.5234502908424958e-07,5.008703993194067e-08
3e-11,1.0,1.0,0.0,1.525e-07,1.5329201386892307e-07,5.010588132389269e-08
4e-11,1.0,1.0,0.0,1.55e-07,1.5467751009734637e-07,5.007406463943559e-08
5e-11,1.0,1.0,0.0,1.55e-07,1.5578219788251872e-07,5.007612987959123e-08
6e-11,1.0,1.0,0.0,1.575e-07,1.5726706357072656e-07,5.003118104260326e-08
7e-11,1.0,1.0,0.0,1.575e-07,1.5844150920870643e-07,5.001920047677587e-08
8e-11,1.0,1.0,0.0,1.6e-07,1.5997461348267288e-07,4.99772410777623e-08
9e-11,1.0,1.0,0.0,1.625e-07,1.6123755719858845e-07,4.9958585277074953e-08
1e-10,1.0,1.0,0.0,1.625e-07,1.6273217705844984e-07,4.992636256525692e-08
1.1e-10,1.0,1.0,0.0,1.65e-07,1.6413307454637356e-07,4.9906459130267805e-08
1.2e-10,1.0,1.0,0.0,1.65e-07,1.6552315087248005e-07,4.989385755418397e-08
1.3e-10,1.0,1.0,0.0,1.675e-07,1.6707878097963601e-07,4.987186673960626e-08
1.4e-10,1.0,1.0,0.0,1.675e-07,1.6837317919653794e-07,4.9879828060295834e-08
1.5e-10,1.0,1.0,0.0,1.7000000000000001e-07,1.6998670551152453e-07,4.986113321366103e-08
1.6e-10,1.0,1.0,0.0,1.7250000000000002e-07,1.7134840005396217e-07,4.9876189907038e-08
1.7e-10,1.0,1.0,0.0,1.7250000000000002e-07,1.7286852384887723e-07,4.987305166057949e-08
1.8e-10,1.0,1.0,0.0,1.75e-07,1.7441657981746978e-07,4.9875037958546373e-08
1.9e-10,1.0,1.0,0.0,1.75e-07,1.7578374599701467e-07,4.989125459585488e-08
2e-10,1.0,1.0,0.0,1.775e-07,1.77445213263038e-07,4.988189937034608e-08
2.1e-10,1.0,1.0,0.0,1.8e-07,1.7884178019108587e-07,4.990242449874774e-08
2.2e-10,1.0,1.0,0.0,1.8e-07,1.8038921925546528e-07,4.9904279783973986e-08
2.3e-10,1.0,1.0,0.0,1.825e-07,1.8198195911158003e-07,4.990487384900654e-08
2.4e-10,1.0,1.0,0.0,1.825e-07,1.8335878929902595e-07,4.992231644778884e-08
2.5e-10,1.0,1.0,0.0,1.85e-07,1.850215185631579e-07,4.991223585359108e-08
2.6e-10,1.0,1.0,0.0,1.875e-07,1.8645558300477484e-07,4.992608337001359e-08
2.7e-10,1.0,1.0,0.0,1.875e-07,1.8797306130012402e-07,4.9928814166674554e-08
2.8e-10,1.0,1.0,0.0,1.9e-07,1.895960471604195e-07,4.9921276399156484e-08
2.9e-10,1.0,1.0,0.0,1.9e-07,1.9095616955372485e-07,4.993672696108972e-08
3e-10,1.0,1.0,0.0,1.925e-07,1.9260342284775466e-07,4.99250776259117e-08
3.1e-10,1.0,1.0,0.0,1.95e-07,1.940621259214838e-07,4.9932574731346767e-08
3.2e-10,1.0,1.0,0.0,1.95e-07,1.955404015322019e-07,4.993633409946764e-08
3.3e-10,1.0,1.0,0.0,1.9750000000000001e-07,1.9717207209408343e-07,4.9924728592292485e-08
3.4e-10,1.0,1.0,0.0,1.9750000000000001e-07,1.9851822995549884e-07,4.993933921540669e-08
3.5e-10,1.0,1.0,0.0,2e-07,2.00141306739427e-07,4.992826500572226e-08
3.6e-10,1.0,1.0,0.0,2.025e-07,2.0161463179339917e-07,4.993279319118599e-08
3.7e-10,1.0,1.0,0.0,2.025e-07,2.0306962227294407e-07,4.993714702639293e-08
3.8e-10,1.0,1.0,0.0,2.05e-07,2.046993482913086e-07,4.992408293368424e-08
3.9e-10,1.0,1.0,0.0,2.05e-07,2.0603666332305805e-07,4.99381270913762e-08
4e-10,1.0,1.0,0.0,2.075e-07,2.0765680946777954e-07,4.9926511719345405e-08
4.1e-10,1.0,1.0,0.0,2.1e-07,2.0911892570544962e-07,4.9930445506456554e-08
4.2e-10,1.0,1.0,0.0,2.1e-07,2.1056695031943766e-07,4.993421346639426e-08
4.3e-10,1.0,1.0,0.0,2.125e-07,2.121896998641015e-07,4.992066802541408e-08
4.4e-10,1.0,1.0,0.0,2.125e-07,2.1352047581453065e-07,4.993441489722925e-08
4.5e-10,1.0,1.0,0.0,2.15e-07,2.151391132873947e-07,4.9921734398236216e-08
4.6e-10,1.0,1.0,0.0,2.175e-07,2.1658617268549126e-07,4.992630691173318e-08
4.7e-10,1.0,1.0,0.0,2.175e-07,2.180398725489326e-07,4.9928778197295095e-08
4.8e-10,1.0,1.0,0.0,2.2e-07,2.1965110520021447e-07,4.9915684140186825e-08
4.9e-10,1.0,1.0,0.0,2.2e-07,2.209779621443434e-07,4.9929216484136675e-08
5e-10,1.0,1.0,0.0,2.2250000000000001e-07,2.226000618690307e-07,4.991509210224355e-08
5.1e-10,1.0,1.0,0.0,2.2500000000000002e-07,2.2402401005943594e-07,4.992143609817784e-08
5.2e-10,1.0,1.0,0.0,2.2500000000000002e-07,2.254933645215631e-07,4.992184864502674e-08
5.3e-10,1.0,1.0,0.0,2.275e-07,2.270867809761933e-07,4.99103206616485e-08
5.4e-10,1.0,1.0,0.0,2.275e-07,2.2841439375115649e-07,4.992321998388202e-08
5.5e-10,1.0,1.0,0.0,2.3e-07,2.3004156957525296e-07,4.990770516271924e-08
