t,bp_number,bp_number_hh,bp_number_tt,loc_x_coarse,loc_x_fine,loc_y_fine
1e-11,1.0,1.0,0.0,1.5e-07,1.5035442056553678e-07,5.005275039080918e-08
2e-11,1.0,1.0,0.0,1.5e-07,1.5049411353370422e-07,5.005087485791962e-08
3e-11,1.0,1.0,0.0,1.5e-07,1.5064170330512405e-07,5.0045644883750247e-08
4e-11,1.0,1.0,0.0,1.5e-07,1.5081208681372087e-07,5.004190436720489e-08
5e-11,1.0,1.0,0.0,1.5e-07,1.5103133237334045e-07,5.0041970988474006e-08
6e-11,1.0,1.0,0.0,1.525e-07,1.513624403673452e-07,5.004840595397511e-08
7e-11,1.0,1.0,0.0,1.525e-07,1.5179892262330974e-07,5.0065360925831384e-08
8e-11,1.0,1.0,0.0,1.525e-07,1.5220752041611212e-07,5.0085563142111885e-08
9e-11,1.0,1.0,0.0,1.525e-07,1.5251661308546373e-07,5.008208483501856e-08
1e-10,1.0,1.0,0.0,1.525e-07,1.5277731627989171e-07,5.00550213989657e-08
1.1e-10,1.0,1.0,0.0,1.525e-07,1.5302473264751517e-07,5.002227727698314e-08
1.2e-10,1.0,1.0,0.0,1.525e-07,1.532848627181153e-07,4.999646412263246e-08
1.3e-10,1.0,1.0,0.0,1.525e-07,1.5360476409418934e-07,4.998457202595365e-08
1.4e-10,1.0,1.0,0.0,1.55e-07,1.5406735251927332e-07,4.998848241824744e-08
1.5e-10,1.0,1.0,0.0,1.55e-07,1.5456417178043063e-07,5.000764349996082e-08
1.6e-10,1.0,1.0,0.0,1.55e-07,1.5493364223748692e-07,5.001885978879098e-08
1.7e-10,1.0,1.0,0.0,1.55e-07,1.5521970806872514e-07,5.000555348832725e-08
1.8e-10,1.0,1.0,0.0,1.55e-07,1.554813458738065e-07,4.998484120743331e-08
1.9e-10,1.0,1.0,0.0,1.55e-07,1.557528473973163e-07,4.997046179452393e-08
2e-10,1.0,1.0,0.0,1.55e-07,1.5608510855003956e-07,4.99692892327713e-08
2.1e-10,1.0,1.0,0.0,1.575e-07,1.5656796516347446e-07,4.998327669963509e-08
2.2e-10,1.0,1.0,0.0,1.575e-07,1.5708581030143283e-07,5.0011273484511695e-08
2.3e-10,1.0,1.0,0.0,1.575e-07,1.5746513007728576e-07,5.0027754409090454e-08
2.4e-10,1.0,1.0,0.0,1.575e-07,1.57759858915891e-07,5.001554866790045e-08
2.5e-10,1.0,1.0,0.0,1.575e-07,1.5803337999076925e-07,4.999492975868949e-08
2.6e-10,1.0,1.0,0.0,1.575e-07,1.5832489561489706e-07,4.998113357989319e-08
2.7e-10,1.0,1.0,0.0,1.575e-07,1.5869591538698174e-07,4.998157118820037e-08
2.8e-10,1.0,1.0,0.0,1.6e-07,1.5921993865900035e-07,4.9998650714107224e-08
2.9e-10,1.0,1.0,0.0,1.6e-07,1.5970620641408653e-07,5.0026540953482874e-08
3e-10,1.0,1.0,0.0,1.6e-07,1.6005209823577114e-07,5.00324343545123e-08
3.1e-10,1.0,1.0,0.0,1.6e-07,1.6033553107287848e-07,5.001304515571933e-08
3.2e-10,1.0,1.0,0.0,1.6e-07,1.6060734652368377e-07,4.999085815250814e-08
3.3e-10,1.0,1.0,0.0,1.6e-07,1.609065580266654e-07,4.9978645648967676e-08
3.4e-10,1.0,1.0,0.0,1.625e-07,1.6131407782041202e-07,4.9982151160210587e-08
3.5e-10,1.0,1.0,0.0,1.625e-07,1.618346923115389e-07,5.000259124890659e-08
3.6e-10,1.0,1.0,0.0,1.625e-07,1.6228350872730988e-07,5.0028350337801804e-08
3.7e-10,1.0,1.0,0.0,1.625e-07,1.626067642638888e-07,5.002765602331345e-08
3.8e-10,1.0,1.0,0.0,1.625e-07,1.628815462543309e-07,5.00068066740268e-08
3.9e-10,1.0,1.0,0.0,1.625e-07,1.6315026884672163e-07,4.9986446498289245e-08
4e-10,1.0,1.0,0.0,1.625e-07,1.6345272290027934e-07,4.997723408718092e-08
4.1e-10,1.0,1.0,0.0,1.65e-07,1.6387280308512962e-07,4.998361973179168e-08
4.2e-10,1.0,1.0,0.0,1.65e-07,1.6439325702033413e-07,5.000603844513294e-08
4.3e-10,1.0,1.0,0.0,1.65e-07,1.64821950701109e-07,5.0030152965578154e-08
4.4e-10,1.0,1.0,0.0,1.65e-07,1.651343626140856e-07,5.0026387646040296e-08
4.5e-10,1.0,1.0,0.0,1.65e-07,1.654041836696769e-07,5.0005158477009735e-08
4.6e-10,1.0,1.0,0.0,1.65e-07,1.6567010798794722e-07,4.998576762389638e-08
4.7e-10,1.0,1.0,0.0,1.65e-07,1.6597207498047711e-07,4.997785821868309e-08
4.8e-10,1.0,1.0,0.0,1.675e-07,1.6639423679088886e-07,4.998518184582438e-08
4.9e-10,1.0,1.0,0.0,1.675e-07,1.6691092427454992e-07,5.000789557856428e-08
