t,bp_number,bp_number_hh,bp_number_tt,loc_x_coarse
1e-11,1.0,1.0,0.0,1.5e-07
2e-11,1.0,1.0,0.0,1.5e-07
3e-11,1.0,1.0,0.0,1.5e-07
4e-11,1.0,1.0,0.0,1.525e-07
5e-11,1.0,1.0,0.0,1.525e-07
6e-11,1.0,1.0,0.0,1.525e-07
7e-11,1.0,1.0,0.0,1.525e-07
8e-11,1.0,1.0,0.0,1.525e-07
9e-11,1.0,1.0,0.0,1.525e-07
1e-10,1.0,1.0,0.0,1.55e-07
1.1e-10,1.0,1.0,0.0,1.55e-07
1.2e-10,1.0,1.0,0.0,1.55e-07
1.3e-10,1.0,1.0,0.0,1.55e-07
1.4e-10,1.0,1.0,0.0,1.55e-07
1.5e-10,1.0,1.0,0.0,1.575e-07
1.6e-10,1.0,1.0,0.0,1.575e-07
1.7e-10,1.0,1.0,0.0,1.575e-07
1.8e-10,1.0,1.0,0.0,1.575e-07
1.9e-10,1.0,1.0,0.0,1.575e-07
2e-10,1.0,1.0,0.0,1.6e-07
2.1e-10,1.0,1.0,0.0,1.6e-07
2.2e-10,1.0,1.0,0.0,1.6e-07
2.3e-10,1.0,1.0,0.0,1.6e-07
2.4e-10,1.0,1.0,0.0,1.6e-07
2.5e-10,1.0,1.0,0.0,1.625e-07
2.6e-10,1.0,1.0,0.0,1.625e-07
2.7e-10,1.0,1.0,0.0,1.625e-07
2.8e-10,1.0,1.0,0.0,1.625e-07
2.9e-10,1.0,1.0,0.0,1.625e-07
3e-10,1.0,1.0,0.0,1.65e-07
3.1e-10,1.0,1.0,0.0,1.65e-07
3.2e-10,1.0,1.0,0.0,1.65e-07
3.3e-10,1.0,1.0,0.0,1.65e-07
3.4e-10,1.0,1.0,0.0,1.65e-07
3.5e-10,1.0,1.0,0.0,1.675e-07
3.6e-10,1.0,1.0,0.0,1.675e-07
3.7e-10,1.0,1.0,0.0,1.675e-07
3.8e-10,1.0,1.0,0.0,1.675e-07
3.9e-10,1.0,1.0,0.0,1.7000000000000001e-07
4e-10,1.0,1.0,0.0,1.7000000000000001e-07
4.1e-10,1.0,1.0,0.0,1.7000000000000001e-07
4.2e-10,1.0,1.0,0.0,1.7000000000000001e-07
4.3e-10,1.0,1.0,0.0,1.7000000000000001e-07
4.4e-10,1.0,1.0,0.0,1.7250000000000002e-07
4.5e-10,1.0,1.0,0.0,1.7250000000000002e-07
4.6e-10,1.0,1.0,0.0,1.7250000000000002e-07
4.7e-10,1.0,1.0,0.0,1.7250000000000002e-07
4.8e-10,1.0,1.0,0.0,1.7250000000000002e-07
4.9e-10,1.0,1.0,0.0,1.75e-07
5e-10,1.0,1.0,0.0,1.75e-07
5.1e-10,1.0,1.0,0.0,1.75e-07
5.2e-10,1.0,1.0,0.0,1.75e-07
5.3e-10,1.0,1.0,0.0,1.75e-07
5.4e-10,1.0,1.0,0.0,1.775e-07
5.5e-10,1.0,1.0,0.0,1.775e-07
5.6e-10,1.0,1.0,0.0,1.775e-07
5.7e-10,1.0,1.0,0.0,1.775e-07
5.8e-10,1.0,1.0,0.0,1.775e-07
5.9e-10,1.0,1.0,0.0,1.775e-07
6e-10,1.0,1.0,0.0,1.8e-07
6.1e-10,1.0,1.0,0.0,1.8e-07
6.2e-10,1.0,1.0,0.0,1.8e-07
6.3e-10,1.0,1.0,0.0,1.8e-07
6.4e-10,1.0,1.0,0.0,1.8e-07
6.5e-10,1.0,1.0,0.0,1.825e-07
6.6e-10,1.0,1.0,0.0,1.825e-07
6.7e-10,1.0,1.0,0.0,1.825e-07
6.8e-10,1.0,1.0,0.0,1.825e-07
6.9e-10,1.0,1.0,0.0,1.825e-07
7e-10,1.0,1.0,0.0,1.85e-07
7.1e-10,1.0,1.0,0.0,1.85e-07
7.2e-10,1.0,1.0,0.0,1.85e-07
7.3e-10,1.0,1.0,0.0,1.85e-07
7.4e-10,1.0,1.0,0.0,1.85e-07
7.5e-10,1.0,1.0,0.0,1.875e-07
7.6e-10,1.0,1.0,0.0,1.875e-07
7.7e-10,1.0,1.0,0.0,1.875e-07
7.8e-10,1.0,1.0,0.0,1.875e-07
7.9e-10,1.0,1.0,0.0,1.875e-07
8e-10,1.0,1.0,0.0,1.9e-07
8.1e-10,1.0,1.0,0.0,1.9e-07
8.2e-10,1.0,1.0,0.0,1.9e-07
8.3e-10,1.0,1.0,0.0,1.9e-07
8.4e-10,1.0,1.0,0.0,1.9e-07
8.5e-10,1.0,1.0,0.0,1.925e-07
8.6e-10,1.0,1.0,0.0,1.925e-07
8.7e-10,1.0,1.0,0.0,1.925e-07
8.8e-10,1.0,1.0,0.0,1.925e-07
8.9e-10,1.0,1.0,0.0,1.925e-07
9e-10,1.0,1.0,0.0,1.925e-07
9.1e-10,1.0,1.0,0.0,1.95e-07
9.2e-10,1.0,1.0,0.0,1.95e-07
9.3e-10,1.0,1.0,0.0,1.95e-07
9.4e-10,1.0,1.0,0.0,1.95e-07
9.5e-10,1.0,1.0,0.0,1.95e-07
9.6e-10,1.0,1.0,0.0,1.9750000000000001e-07
9.7e-10,1.0,1.0,0.0,1.9750000000000001e-07
9.8e-10,1.0,1.0,0.0,1.9750000000000001e-07
9.9e-10,1.0,1.0,0.0,1.9750000000000001e-07
1e-09,1.0,1.0,0.0,1.9750000000000001e-07
1.01e-09,1.0,1.0,0.0,2e-07
1.02e-09,1.0,1.0,0.0,2e-07
1.03e-09,1.0,1.0,0.0,2e-07
1.04e-09,1.0,1.0,0.0,2e-07
1.05e-09,1.0,1.0,0.0,2e-07
1.06e-09,1.0,1.0,0.0,2e-07
1.07e-09,1.0,1.0,0.0,2.025e-07
1.08e-09,1.0,1.0,0.0,2.025e-07
1.09e-09,1.0,1.0,0.0,2.025e-07
1.1e-09,1.0,1.0,0.0,2.025e-07
1.11e-09,1.0,1.0,0.0,2.025e-07
1.12e-09,1.0,1.0,0.0,2.05e-07
1.13e-09,1.0,1.0,0.0,2.05e-07
1.14e-09,1.0,1.0,0.0,2.05e-07
1.15e-09,1.0,1.0,0.0,2.05e-07
1.16e-09,1.0,1.0,0.0,2.05e-07
1.17e-09,1.0,1.0,0.0,2.075e-07
1.18e-09,1.0,1.0,0.0,2.075e-07
1.19e-09,1.0,1.0,0.0,2.075e-07
1.2e-09,1.0,1.0,0.0,2.075e-07
1.21e-09,1.0,1.0,0.0,2.075e-07
1.22e-09,1.0,1.0,0.0,2.075e-07
1.23e-09,1.0,1.0,0.0,2.1e-07
1.24e-09,1.0,1.0,0.0,2.1e-07
1.25e-09,1.0,1.0,0.0,2.1e-07
1.26e-09,1.0,1.0,0.0,2.1e-07
1.27e-09,1.0,1.0,0.0,2.1e-07
1.28e-09,1.0,1.0,0.0,2.125e-07
1.29e-09,1.0,1.0,0.0,2.125e-07
1.3e-09,1.0,1.0,0.0,2.125e-07
1.31e-09,1.0,1.0,0.0,2.125e-07
1.32e-09,1.0,1.0,0.0,2.125e-07
1.33e-09,1.0,1.0,0.0,2.15e-07
1.34e-09,1.0,1.0,0.0,2.15e-07
1.35e-09,1.0,1.0,0.0,2.15e-07
1.36e-09,1.0,1.0,0.0,2.15e-07
1.37e-09,1.0,1.0,0.0,2.15e-07
1.38e-09,1.0,1.0,0.0,2.15e-07
1.39e-09,1.0,1.0,0.0,2.175e-07
1.4e-09,1.0,1.0,0.0,2.175e-07
1.41e-09,1.0,1.0,0.0,2.175e-07
1.42e-09,1.0,1.0,0.0,2.175e-07
1.43e-09,1.0,1.0,0.0,2.175e-07
1.44e-09,1.0,1.0,0.0,2.2e-07
1.45e-09,1.0,1.0,0.0,2.2e-07
1.46e-09,1.0,1.0,0.0,2.2e-07
1.47e-09,1.0,1.0,0.0,2.2e-07
1.48e-09,1.0,1.0,0.0,2.2e-07
1.49e-09,1.0,1.0,0.0,2.2e-07
1.5e-09,1.0,1.0,0.0,2.2250000000000001e-07
1.51e-09,1.0,1.0,0.0,2.2250000000000001e-07
1.52e-09,1.0,1.0,0.0,2.2250000000000001e-07
1.53e-09,1.0,1.0,0.0,2.2250000000000001e-07
1.54e-09,1.0,1.0,0.0,2.2250000000000001e-07
1.55e-09,1.0,1.0,0.0,2.2500000000000002e-07
1.56e-09,1.0,1.0,0.0,2.2500000000000002e-07
1.57e-09,1.0,1.0,0.0,2.2500000000000002e-07
1.58e-09,1.0,1.0,0.0,2.2500000000000002e-07
1.59e-09,1.0,1.0,0.0,2.2500000000000002e-07
1.6e-09,1.0,1.0,0.0,2.2500000000000002e-07
1.61e-09,1.0,1.0,0.0,2.275e-07
1.62e-09,1.0,1.0,0.0,2.275e-07
1.63e-09,1.0,1.0,0.0,2.275e-07
1.64e-09,1.0,1.0,0.0,2.275e-07
1.65e-09,1.0,1.0,0.0,2.275e-07
