t,bp_number,bp_number_hh,bp_number_tt,loc_x_coarse,loc_x_fine,loc_y_fine
1e-11,1.0,1.0,0.0,1.5e-07,1.5077298048879225e-07,5.0058502146016455e-08
2e-11,1.0,1.0,0.0,1.525e-07,1.5164651363543646e-07,5.006263846981423e-08
3e-11,1.0,1.0,0.0,1.525e-07,1.5253446941400317e-07,5.0097281079598084e-08
4e-11,1.0,1.0,0.0,1.525e-07,1.532041887089807e-07,5.008653387179759e-08
5e-11,1.0,1.0,0.0,1.55e-07,1.5422851297234054e-07,5.004716249815673e-08
6e-11,1.0,1.0,0.0,1.55e-07,1.5519488351564479e-07,5.005803702508976e-08
7e-11,1.0,1.0,0.0,1.55e-07,1.5599780723382345e-07,5.002351123951016e-08
8e-11,1.0,1.0,0.0,1.575e-07,1.5718944359347619e-07,4.99921306813477e-08
9e-11,1.0,1.0,0.0,1.575e-07,1.5803719749928312e-07,4.999524667669676e-08
1e-10,1.0,1.0,0.0,1.6e-07,1.5908425935693435e-07,4.995049569673356e-08
1.1e-10,1.0,1.0,0.0,1.6e-07,1.601654147901028e-07,4.994907207062317e-08
1.2e-10,1.0,1.0,0.0,1.6e-07,1.6103256441067857e-07,4.993456332043508e-08
1.3e-10,1.0,1.0,0.0,1.625e-07,1.622712616053573e-07,4.991203893618321e-08
1.4e-10,1.0,1.0,0.0,1.625e-07,1.6314085214345076e-07,4.992875497108138e-08
1.5e-10,1.0,1.0,0.0,1.65e-07,1.642962341770669e-07,4.9904916082570217e-08
1.6e-10,1.0,1.0,0.0,1.65e-07,1.6532509952750917e-07,4.992372720133699e-08
1.7e-10,1.0,1.0,0.0,1.675e-07,1.6631562179917804e-07,4.991660193038481e-08
1.8e-10,1.0,1.0,0.0,1.675e-07,1.675265922927051e-07,4.991809505707153e-08
1.9e-10,1.0,1.0,0.0,1.675e-07,1.6842319350483196e-07,4.993301049685967e-08
2e-10,1.0,1.0,0.0,1.7000000000000001e-07,1.6970259333089583e-07,4.9919202298324266e-08
2.1e-10,1.0,1.0,0.0,1.7000000000000001e-07,1.706264770803996e-07,4.994684397764395e-08
2.2e-10,1.0,1.0,0.0,1.7250000000000002e-07,1.7182158764593835e-07,4.993028718553306e-08
2.3e-10,1.0,1.0,0.0,1.7250000000000002e-07,1.7286745730853006e-07,4.995339200486986e-08
2.4e-10,1.0,1.0,0.0,1.75e-07,1.7390930287730438e-07,4.994532942341776e-08
2.5e-10,1.0,1.0,0.0,1.75e-07,1.7510477640420342e-07,4.995180002744312e-08
2.6e-10,1.0,1.0,0.0,1.75e-07,1.7603136032301208e-07,4.99582570182078e-08
2.7e-10,1.0,1.0,0.0,1.775e-07,1.773256371924169e-07,4.9946068992219944e-08
2.8e-10,1.0,1.0,0.0,1.775e-07,1.7823294711496662e-07,4.996662487095322e-08
2.9e-10,1.0,1.0,0.0,1.8e-07,1.7947384859923456e-07,4.9945150898929e-08
3e-10,1.0,1.0,0.0,1.8e-07,1.8046135727516936e-07,4.996810825383717e-08
3.1e-10,1.0,1.0,0.0,1.825e-07,1.81554042656267e-07,4.9950918558608205e-08
3.2e-10,1.0,1.0,0.0,1.825e-07,1.8269408893755508e-07,4.996149112813639e-08
3.3e-10,1.0,1.0,0.0,1.825e-07,1.8363363824712911e-07,4.995951217413176e-08
3.4e-10,1.0,1.0,0.0,1.85e-07,1.8489992433791314e-07,4.995060198538688e-08
3.5e-10,1.0,1.0,0.0,1.85e-07,1.857906242068473e-07,4.9966919846140794e-08
3.6e-10,1.0,1.0,0.0,1.875e-07,1.870382859443014e-07,4.9945196762564186e-08
3.7e-10,1.0,1.0,0.0,1.875e-07,1.8799562320206643e-07,4.996869035983509e-08
3.8e-10,1.0,1.0,0.0,1.9e-07,1.8909565710064211e-07,4.994941255599719e-08
3.9e-10,1.0,1.0,0.0,1.9e-07,1.9021273830009688e-07,4.996183198823969e-08
4e-10,1.0,1.0,0.0,1.9e-07,1.9114786456799615e-07,4.9957959217933206e-08
4.1e-10,1.0,1.0,0.0,1.925e-07,1.9240474912601497e-07,4.994966156687059e-08
4.2e-10,1.0,1.0,0.0,1.925e-07,1.9328703128903203e-07,4.996545361961906e-08
4.3e-10,1.0,1.0,0.0,1.95e-07,1.94525414653243e-07,4.994327729380288e-08
4.4e-10,1.0,1.0,0.0,1.95e-07,1.9548050674234318e-07,4.996660541951888e-08
4.5e-10,1.0,1.0,0.0,1.9750000000000001e-07,1.9656199936015275e-07,4.9947338282946306e-08
4.6e-10,1.0,1.0,0.0,1.9750000000000001e-07,1.9768620257133395e-07,4.995821187908865e-08
4.7e-10,1.0,1.0,0.0,1.9750000000000001e-07,1.9860369810187844e-07,4.9955716228554135e-08
4.8e-10,1.0,1.0,0.0,2e-07,1.9985525021995854e-07,4.99450993254653e-08
4.9e-10,1.0,1.0,0.0,2e-07,2.0073242198652788e-07,4.9962511321582876e-08
5e-10,1.0,1.0,0.0,2.025e-07,2.0195421175555371e-07,4.993921292497024e-08
5.1e-10,1.0,1.0,0.0,2.025e-07,2.0292770357066538e-07,4.9961573327489156e-08
5.2e-10,1.0,1.0,0.0,2.05e-07,2.039686868581701e-07,4.994429559690878e-08
5.3e-10,1.0,1.0,0.0,2.05e-07,2.0512124857016003e-07,4.995090509080504e-08
5.4e-10,1.0,1.0,0.0,2.05e-07,2.060128064816549e-07,4.9952914122304315e-08
5.5e-10,1.0,1.0,0.0,2.075e-07,2.072715078257206e-07,4.993770579118876e-08
5.6e-10,1.0,1.0,0.0,2.075e-07,2.0815496530142616e-07,4.995847248198063e-08
5.7e-10,1.0,1.0,0.0,2.1e-07,2.0932430218021323e-07,4.9935367845789144e-08
5.8e-10,1.0,1.0,0.0,2.1e-07,2.1034034065560904e-07,4.995518553820576e-08
5.9e-10,1.0,1.0,0.0,2.125e-07,2.1132418576248082e-07,4.9942695372195784e-08
6e-10,1.0,1.0,0.0,2.125e-07,2.1251757070525107e-07,4.994249926832933e-08
6.1e-10,1.0,1.0,0.0,2.125e-07,2.133857804907594e-07,4.9951802353923095e-08
6.2e-10,1.0,1.0,0.0,2.15e-07,2.1463027126083206e-07,4.9932029206081726e-08
6.3e-10,1.0,1.0,0.0,2.15e-07,2.1554017269099796e-07,4.995556218600676e-08
6.4e-10,1.0,1.0,0.0,2.175e-07,2.1663737599406436e-07,4.9934675640968693e-08
6.5e-10,1.0,1.0,0.0,2.175e-07,2.1772091519547194e-07,4.9948757207009934e-08
6.6e-10,1.0,1.0,0.0,2.175e-07,2.186316803573324e-07,4.994429746214726e-08
6.7e-10,1.0,1.0,0.0,2.2e-07,2.198726103027797e-07,4.9935136025992576e-08
6.8e-10,1.0,1.0,0.0,2.2e-07,2.2073501454513634e-07,4.9952773459757885e-08
6.9e-10,1.0,1.0,0.0,2.2250000000000001e-07,2.2193114765718873e-07,4.993022698226304e-08
7e-10,1.0,1.0,0.0,2.2250000000000001e-07,2.22900774873451e-07,4.995295131006937e-08
7.1e-10,1.0,1.0,0.0,2.2500000000000002e-07,2.2390721495914515e-07,4.9937567429470934e-08
7.2e-10,1.0,1.0,0.0,2.2500000000000002e-07,2.2506925320838266e-07,4.994193455821563e-08
7.3e-10,1.0,1.0,0.0,2.2500000000000002e-07,2.2593511961403316e-07,4.994812978727956e-08
7.4e-10,1.0,1.0,0.0,2.275e-07,2.2717844915578816e-07,4.9930406908371296e-08
7.5e-10,1.0,1.0,0.0,2.275e-07,2.2806916856810646e-07,4.9954026869323566e-08
7.6e-10,1.0,1.0,0.0,2.3e-07,2.2917442182798895e-07,4.993255089802541e-08
7.7e-10,1.0,1.0,0.0,2.3e-07,2.302380925682836e-07,4.9948590560275887e-08
7.8e-10,1.0,1.0,0.0,2.3e-07,2.311467120886058e-07,4.9942841573692184e-08
7.9e-10,1.0,1.0,0.0,2.325e-07,2.3237957851402986e-07,4.993484269056523e-08
8e-10,1.0,1.0,0.0,2.325e-07,2.3323476909333394e-07,4.995226543423624e-08
8.1e-10,1.0,1.0,0.0,2.35e-07,2.344233154962958e-07,4.9929745677186674e-08
8.2e-10,1.0,1.0,0.0,2.35e-07,2.353904324425119e-07,4.995275582505139e-08
8.3e-10,1.0,1.0,0.0,2.375e-07,2.3638273157917388e-07,4.993760258079499e-08
8.4e-10,1.0,1.0,0.0,2.375e-07,2.3754759286283816e-07,4.994114115134809e-08
8.5e-10,1.0,1.0,0.0,2.375e-07,2.3840381344014622e-07,4.994855103613539e-08
8.6e-10,1.0,1.0,0.0,2.4000000000000003e-07,2.396375634003003e-07,4.992978439035362e-08
8.7e-10,1.0,1.0,0.0,2.4000000000000003e-07,2.405336685588331e-07,4.9953843821554274e-08
8.8e-10,1.0,1.0,0.0,2.425e-07,2.4160995886836607e-07,4.9932971493220114e-08
8.9e-10,1.0,1.0,0.0,2.425e-07,2.426938268278077e-07,4.994670962207482e-08
9e-10,1.0,1.0,0.0,2.425e-07,2.4357994920782063e-07,4.994374933559426e-08
9.1e-10,1.0,1.0,0.0,2.45e-07,2.448161914175127e-07,4.99323761624533e-08
9.2e-10,1.0,1.0,0.0,2.45e-07,2.456729485933113e-07,4.995230944265619e-08
9.3e-10,1.0,1.0,0.0,2.475e-07,2.4682662251185356e-07,4.992941651949222e-08
9.4e-10,1.0,1.0,0.0,2.475e-07,2.4782552027711796e-07,4.995021990458456e-08
9.5e-10,1.0,1.0,0.0,2.5e-07,2.4877629075979964e-07,4.993837792705525e-08
9.6e-10,1.0,1.0,0.0,2.5e-07,2.4996664427838385e-07,4.9936418522682716e-08
9.7e-10,1.0,1.0,0.0,2.5e-07,2.5081181865176574e-07,4.9948882004873776e-08
9.8e-10,1.0,1.0,0.0,2.525e-07,2.520198314274706e-07,4.99273446373013e-08
9.9e-10,1.0,1.0,0.0,2.525e-07,2.5294735464099836e-07,4.995145950700806e-08
1e-09,1.0,1.0,0.0,2.55e-07,2.53963776153713e-07,4.9933362374377714e-08
1.01e-09,1.0,1.0,0.0,2.55e-07,2.5509669710244205e-07,4.994065705459082e-08
1.02e-09,1.0,1.0,0.0,2.55e-07,2.559525396607085e-07,4.9944367074743956e-08
1.03e-09,1.0,1.0,0.0,2.575e-07,2.571850532149378e-07,4.992724259433071e-08
1.04e-09,1.0,1.0,0.0,2.575e-07,2.580627347839709e-07,4.9950705916010404e-08
1.05e-09,1.0,1.0,0.0,2.6e-07,2.5914119768213403e-07,4.9928743941486396e-08
1.06e-09,1.0,1.0,0.0,2.6e-07,2.6020600452078294e-07,4.994409991279175e-08
1.07e-09,1.0,1.0,0.0,2.6e-07,2.610909196939587e-07,4.993971088463836e-08
1.08e-09,1.0,1.0,0.0,2.6250000000000003e-07,2.623250534887181e-07,4.992903270011184e-08
1.09e-09,1.0,1.0,0.0,2.6250000000000003e-07,2.631742781415542e-07,4.994855548379194e-08
1.1e-09,1.0,1.0,0.0,2.65e-07,2.6431403812804364e-07,4.9925483272759356e-08
1.11e-09,1.0,1.0,0.0,2.65e-07,2.6531074522043486e-07,4.994638501867754e-08
1.12e-09,1.0,1.0,0.0,2.675e-07,2.6624789070218207e-07,4.9934721383762356e-08
1.13e-09,1.0,1.0,0.0,2.675e-07,2.674389071195807e-07,4.9931904302935155e-08
1.14e-09,1.0,1.0,0.0,2.675e-07,2.6827849994117566e-07,4.994568408200334e-08
1.15e-09,1.0,1.0,0.0,2.7e-07,2.694761764469807e-07,4.992368172530534e-08
1.16e-09,1.0,1.0,0.0,2.7e-07,2.7041348061693896e-07,4.994742838449932e-08
1.17e-09,1.0,1.0,0.0,2.725e-07,2.713949656021593e-07,4.993061476743246e-08
1.18e-09,1.0,1.0,0.0,2.725e-07,2.725442653209383e-07,4.9935286293667106e-08
1.19e-09,1.0,1.0,0.0,2.725e-07,2.733877161266482e-07,4.99422896871226e-08
1.2e-09,1.0,1.0,0.0,2.75e-07,2.7461238995745654e-07,4.9923086644359666e-08
1.21e-09,1.0,1.0,0.0,2.75e-07,2.7550459657597054e-07,4.9947417547443734e-08
1.22e-09,1.0,1.0,0.0,2.775e-07,2.765398436828843e-07,4.9927005313565866e-08
1.23e-09,1.0,1.0,0.0,2.775e-07,2.776383869864317e-07,4.993842860460151e-08
1.24e-09,1.0,1.0,0.0,2.775e-07,2.7849712936387707e-07,4.9938764882768485e-08
1.25e-09,1.0,1.0,0.0,2.8e-07,2.7973067768199366e-07,4.9923776379470475e-08
1.26e-09,1.0,1.0,0.0,2.8e-07,2.805915970514813e-07,4.9946430680960896e-08
1.27e-09,1.0,1.0,0.0,2.825e-07,2.816787683959229e-07,4.992404160491546e-08
1.28e-09,1.0,1.0,0.0,2.825e-07,2.8272378282034954e-07,4.9940896781455296e-08
1.29e-09,1.0,1.0,0.0,2.825e-07,2.836069397803073e-07,4.993524602064315e-08
1.3e-09,1.0,1.0,0.0,2.85e-07,2.848336924347437e-07,4.992547256983234e-08
1.31e-09,1.0,1.0,0.0,2.85e-07,2.85675608604672e-07,4.994469197218197e-08
1.32e-09,1.0,1.0,0.0,2.875e-07,2.8680837067678454e-07,4.9921711687349236e-08
1.33e-09,1.0,1.0,0.0,2.875e-07,2.878021891001206e-07,4.9942578582092864e-08
1.34e-09,1.0,1.0,0.0,2.875e-07,2.8871666421080387e-07,4.993179164099978e-08
1.35e-09,1.0,1.0,0.0,2.9000000000000003e-07,2.899242424361196e-07,4.992766032116424e-08
1.36e-09,1.0,1.0,0.0,2.9000000000000003e-07,2.907573461284446e-07,4.9942493169214624e-08
1.37e-09,1.0,1.0,0.0,2.925e-07,2.9192633715629197e-07,4.992000611057426e-08
1.38e-09,1.0,1.0,0.0,2.925e-07,2.928749318822975e-07,4.9943461859839335e-08
1.39e-09,1.0,1.0,0.0,2.95e-07,2.9383604460992374e-07,4.992815867805834e-08
1.4e-09,1.0,1.0,0.0,2.95e-07,2.9499844214690436e-07,4.9929949109095506e-08
1.41e-09,1.0,1.0,0.0,2.95e-07,2.958318871123793e-07,4.993996138490959e-08
1.42e-09,1.0,1.0,0.0,2.975e-07,2.970384178807566e-07,4.991917613539629e-08
1.43e-09,1.0,1.0,0.0,2.975e-07,2.979487455011177e-07,4.99435832311725e-08
1.44e-09,1.0,1.0,0.0,3e-07,2.989422417612792e-07,4.9925148886575304e-08
1.45e-09,1.0,1.0,0.0,3e-07,3.0007077051394386e-07,4.993218467154306e-08
1.46e-09,1.0,1.0,0.0,3e-07,3.009102527297336e-07,4.993726570419753e-08
1.47e-09,1.0,1.0,0.0,3.025e-07,3.0213188808502124e-07,4.991885034018491e-08
1.48e-09,1.0,1.0,0.0,3.025e-07,3.030127247935177e-07,4.9943099049314425e-08
1.49e-09,1.0,1.0,0.0,3.05e-07,3.040444871736834e-07,4.992249656340956e-08
1.5e-09,1.0,1.0,0.0,3.05e-07,3.0513627031049206e-07,4.9934093033725095e-08
1.51e-09,1.0,1.0,0.0,3.05e-07,3.059871000714936e-07,4.9934537544456676e-08
1.52e-09,1.0,1.0,0.0,3.075e-07,3.072145061557768e-07,4.9919183945026514e-08
1.53e-09,1.0,1.0,0.0,3.075e-07,3.0807331247834124e-07,4.994213834105493e-08
1.54e-09,1.0,1.0,0.0,3.1e-07,3.0914147590214354e-07,4.9920164391960723e-08
1.55e-09,1.0,1.0,0.0,3.1e-07,3.1019597768172603e-07,4.993564966599797e-08
1.56e-09,1.0,1.0,0.0,3.1e-07,3.110623128502305e-07,4.993182209294449e-08
1.57e-09,1.0,1.0,0.0,3.125e-07,3.1228768450412115e-07,4.991992244243767e-08
1.58e-09,1.0,1.0,0.0,3.125e-07,3.131309052306613e-07,4.994089642444075e-08
1.59e-09,1.0,1.0,0.0,3.15e-07,3.1423209035103347e-07,4.9918112272450675e-08
1.6e-09,1.0,1.0,0.0,3.15e-07,3.152507547631474e-07,4.993681878615288e-08
1.61e-09,1.0,1.0,0.0,3.15e-07,3.1613563313432424e-07,4.992924986783355e-08
1.62e-09,1.0,1.0,0.0,3.1750000000000003e-07,3.173528052407399e-07,4.9920930913919544e-08
1.63e-09,1.0,1.0,0.0,3.1750000000000003e-07,3.1818579682078426e-07,4.9939391555701474e-08
1.64e-09,1.0,1.0,0.0,3.2e-07,3.1931560003656287e-07,4.991644754369397e-08
1.65e-09,1.0,1.0,0.0,3.2e-07,3.203012373618131e-07,4.9937559057478467e-08
1.66e-09,1.0,1.0,0.0,3.2e-07,3.2120681514546493e-07,4.992684322279543e-08
1.67e-09,1.0,1.0,0.0,3.225e-07,3.224046612446971e-07,4.992212622064482e-08
1.68e-09,1.0,1.0,0.0,3.225e-07,3.232327340308138e-07,4.993775193630923e-08
1.69e-09,1.0,1.0,0.0,3.25e-07,3.243985028716347e-07,4.9915245553006354e-08
1.7e-09,1.0,1.0,0.0,3.25e-07,3.2535375521055535e-07,4.993795139295176e-08
1.71e-09,1.0,1.0,0.0,3.275e-07,3.2628624077336e-07,4.992411240561099e-08
1.72e-09,1.0,1.0,0.0,3.275e-07,3.2745700837633753e-07,4.99233611870216e-08
1.73e-09,1.0,1.0,0.0,3.275e-07,3.2828282416040956e-07,4.993600944971168e-08
1.74e-09,1.0,1.0,0.0,3.3e-07,3.2946743933843246e-07,4.9914269965027174e-08
1.75e-09,1.0,1.0,0.0,3.3e-07,3.303969303996795e-07,4.9938008883646e-08
1.76e-09,1.0,1.0,0.0,3.325e-07,3.313520097832258e-07,4.9922004996385426e-08
1.77e-09,1.0,1.0,0.0,3.325e-07,3.325041841758938e-07,4.992457589265209e-08
1.78e-09,1.0,1.0,0.0,3.325e-07,3.333305940166304e-07,4.993419413074057e-08
1.79e-09,1.0,1.0,0.0,3.35e-07,3.3452947252629445e-07,4.99134989993256e-08
1.8e-09,1.0,1.0,0.0,3.35e-07,3.354369724046044e-07,4.9937861475857e-08
1.81e-09,1.0,1.0,0.0,3.375e-07,3.3641451142058917e-07,4.992000284482892e-08
1.82e-09,1.0,1.0,0.0,3.375e-07,3.3754685344305596e-07,4.992569218711432e-08
1.83e-09,1.0,1.0,0.0,3.375e-07,3.383760218588552e-07,4.993240990069141e-08
1.84e-09,1.0,1.0,0.0,3.4000000000000003e-07,3.395851103699092e-07,4.9912951957599406e-08
1.85e-09,1.0,1.0,0.0,3.4000000000000003e-07,3.40474118210505e-07,4.9937470648011555e-08
1.86e-09,1.0,1.0,0.0,3.425e-07,3.414802758028786e-07,4.991841023051867e-08
1.87e-09,1.0,1.0,0.0,3.425e-07,3.425916930602745e-07,4.9926671730075226e-08
1.88e-09,1.0,1.0,0.0,3.425e-07,3.434244595466868e-07,4.9930584003467493e-08
1.89e-09,1.0,1.0,0.0,3.4500000000000003e-07,3.4463486860950973e-07,4.9912692022979864e-08
1.9e-09,1.0,1.0,0.0,3.4500000000000003e-07,3.455085784230662e-07,4.9936874391675227e-08
1.91e-09,1.0,1.0,0.0,3.475e-07,3.46535329607359e-07,4.991673216094748e-08
1.92e-09,1.0,1.0,0.0,3.475e-07,3.4762667407680487e-07,4.9927440578256425e-08
1.93e-09,1.0,1.0,0.0,3.475e-07,3.484651677455775e-07,4.9928925953021296e-08
