t,pos_x,pos_y
4e-11,282.5,240.0
8e-11,282.5,240.0
1.2e-10,282.5,237.5
1.6e-10,282.5,235.0
2e-10,282.5,232.5
2.4e-10,282.5,232.5
2.8e-10,282.5,230.0
3.2e-10,282.5,227.5
3.6e-10,282.5,227.5
4e-10,282.5,225.0
4.4e-10,285.0,225.0
4.8e-10,285.0,222.5
5.2e-10,285.0,220.0
5.6e-10,285.0,220.0
6e-10,285.0,217.5
6.4e-10,285.0,217.5
6.8e-10,287.5,215.0
7.2e-10,287.5,212.5
7.6e-10,287.5,212.5
8e-10,287.5,210.0
8.4e-10,287.5,207.5
8.8e-10,290.0,207.5
9.2e-10,290.0,207.5
9.6e-10,290.0,205.0
1e-09,290.0,205.0
1.04e-09,290.0,205.0
1.08e-09,290.0,205.0
1.12e-09,290.0,202.5
1.16e-09,290.0,202.5
1.2e-09,290.0,202.5
1.24e-09,290.0,202.5
1.28e-09,290.0,202.5
1.32e-09,290.0,202.5
1.36e-09,290.0,202.5
1.4e-09,290.0,202.5
1.44e-09,290.0,202.5
1.48e-09,290.0,202.5
1.52e-09,290.0,202.5
1.56e-09,290.0,202.5
1.6e-09,290.0,200.0
1.64e-09,290.0,197.5
1.68e-09,292.5,197.5
1.72e-09,292.5,195.0
1.76e-09,292.5,192.5
1.8e-09,295.0,190.0
1.84e-09,295.0,187.5
1.88e-09,297.5,185.0
1.92e-09,297.5,182.5
1.96e-09,297.5,180.0
2e-09,300.0,180.0
2.0100000000000003e-09,300.0,175.0
2.02e-09,300.0,170.0
2.0300000000000002e-09,300.0,165.0
2.04e-09,300.0,160.0
2.05e-09,300.0,152.5
2.06e-09,300.0,147.5
2.07e-09,300.0,142.5
2.0800000000000003e-09,300.0,135.0
2.09e-09,300.0,130.0
2.1e-09,300.0,125.0
2.11e-09,300.0,117.5
2.12e-09,300.0,112.5
2.1300000000000003e-09,300.0,107.5
2.14e-09,300.0,100.0
2.1500000000000002e-09,297.5,95.0
2.16e-09,297.5,90.0
2.17e-09,297.5,85.0
2.1800000000000003e-09,295.0,82.5
2.19e-09,295.0,77.5
2.2000000000000003e-09,292.5,75.0
2.21e-09,292.5,72.5
2.22e-09,290.0,70.0
2.23e-09,290.0,67.5
2.24e-09,287.5,65.0
2.2500000000000003e-09,287.5,62.5
2.26e-09,285.0,60.0
2.2700000000000002e-09,285.0,57.5
2.28e-09,282.5,57.5
2.29e-09,280.0,55.0
2.3e-09,280.0,55.0
2.31e-09,277.5,52.5
2.3200000000000003e-09,275.0,52.5
2.33e-09,272.5,50.0
2.34e-09,270.0,50.0
2.35e-09,267.5,47.5
2.36e-09,267.5,47.5
2.3700000000000003e-09,265.0,47.5
2.38e-09,262.5,45.0
2.3900000000000002e-09,260.0,45.0
2.4e-09,257.5,45.0
2.41e-09,255.0,45.0
2.4200000000000003e-09,252.5,42.5
2.43e-09,250.0,42.5
2.4400000000000003e-09,245.0,42.5
2.45e-09,242.5,42.5
2.46e-09,237.5,45.0
2.47e-09,235.0,45.0
2.48e-09,230.0,45.0
2.4900000000000003e-09,225.0,45.0
2.5e-09,222.5,47.5
2.5100000000000002e-09,217.5,47.5
2.52e-09,212.5,50.0
2.53e-09,205.0,52.5
2.54e-09,200.0,52.5
2.55e-09,192.5,55.0
2.5600000000000003e-09,185.0,57.5
2.57e-09,177.5,57.5
2.58e-09,172.5,60.0
2.5900000000000004e-09,165.0,60.0
2.6e-09,157.5,62.5
2.61e-09,150.0,62.5
2.62e-09,142.5,65.0
2.6300000000000002e-09,137.5,65.0
2.64e-09,130.0,65.0
2.65e-09,122.5,67.5
2.6600000000000003e-09,117.5,67.5
2.67e-09,110.0,67.5
2.6800000000000003e-09,105.0,67.5
2.69e-09,97.5,67.5
2.7e-09,90.0,67.5
2.74e-09,87.5,67.5
2.7800000000000003e-09,85.0,65.0
2.82e-09,85.0,60.0
2.86e-09,85.0,57.5
2.9000000000000003e-09,85.0,55.0
2.94e-09,85.0,52.5
2.98e-09,87.5,50.0
3.0200000000000003e-09,87.5,50.0
3.06e-09,90.0,50.0
3.1e-09,92.5,50.0
3.1400000000000003e-09,95.0,50.0
3.18e-09,97.5,50.0
3.22e-09,97.5,50.0
3.2600000000000003e-09,100.0,50.0
3.3e-09,100.0,50.0
3.34e-09,102.5,50.0
3.3800000000000003e-09,102.5,50.0
3.42e-09,105.0,50.0
3.46e-09,105.0,50.0
3.5000000000000003e-09,105.0,50.0
3.54e-09,107.5,50.0
3.58e-09,107.5,50.0
3.6200000000000003e-09,107.5,50.0
3.66e-09,110.0,50.0
3.7e-09,110.0,50.0
3.74e-09,110.0,50.0
3.78e-09,112.5,50.0
3.8200000000000005e-09,112.5,50.0
3.86e-09,112.5,50.0
3.9e-09,112.5,50.0
3.94e-09,115.0,50.0
3.98e-09,115.0,50.0
4.020000000000001e-09,115.0,50.0
4.0600000000000005e-09,115.0,50.0
4.1e-09,115.0,50.0
4.14e-09,115.0,50.0
4.18e-09,115.0,50.0
4.22e-09,115.0,50.0
4.26e-09,115.0,50.0
4.3000000000000005e-09,115.0,50.0
4.34e-09,115.0,50.0
4.38e-09,115.0,50.0
4.42e-09,115.0,50.0
4.46e-09,115.0,50.0
4.500000000000001e-09,115.0,50.0
4.5400000000000005e-09,115.0,50.0
4.58e-09,115.0,50.0
4.62e-09,115.0,50.0
4.66e-09,115.0,50.0
4.700000000000001e-09,115.0,50.0
