t,pos_x,pos_y
4e-11,135.0,55.0
8e-11,137.5,55.0
1.2e-10,140.0,55.0
1.6e-10,142.5,55.0
2e-10,145.0,55.0
2.4e-10,147.5,55.0
2.8e-10,150.0,55.0
3.2e-10,152.5,55.0
3.6e-10,155.0,57.5
4e-10,157.5,57.5
4.4e-10,160.0,57.5
4.8e-10,162.5,57.5
5.2e-10,165.0,57.5
5.6e-10,165.0,57.5
6e-10,167.5,57.5
6.4e-10,170.0,57.5
6.8e-10,170.0,57.5
7.2e-10,172.5,57.5
7.6e-10,175.0,57.5
8e-10,175.0,57.5
8.4e-10,175.0,57.5
8.8e-10,177.5,57.5
9.2e-10,177.5,57.5
9.6e-10,177.5,57.5
1e-09,180.0,57.5
1.04e-09,180.0,57.5
1.08e-09,180.0,57.5
1.12e-09,180.0,57.5
1.16e-09,180.0,57.5
1.2e-09,180.0,57.5
1.24e-09,180.0,57.5
1.28e-09,180.0,60.0
1.32e-09,180.0,60.0
1.36e-09,180.0,60.0
1.4e-09,180.0,60.0
1.44e-09,180.0,60.0
1.48e-09,180.0,60.0
1.52e-09,180.0,60.0
1.56e-09,180.0,60.0
1.6e-09,180.0,60.0
1.64e-09,180.0,60.0
1.68e-09,180.0,60.0
1.72e-09,180.0,60.0
1.76e-09,180.0,60.0
1.8e-09,180.0,60.0
1.84e-09,180.0,60.0
1.88e-09,180.0,60.0
1.92e-09,180.0,60.0
1.96e-09,180.0,60.0
2e-09,180.0,60.0
2.0100000000000003e-09,185.0,60.0
2.02e-09,190.0,60.0
2.0300000000000002e-09,195.0,60.0
2.04e-09,200.0,60.0
2.05e-09,205.0,57.5
2.06e-09,210.0,57.5
2.07e-09,215.0,57.5
2.0800000000000003e-09,220.0,55.0
2.09e-09,225.0,55.0
2.1e-09,232.5,55.0
2.11e-09,237.5,52.5
2.12e-09,245.0,52.5
2.1300000000000003e-09,250.0,52.5
2.14e-09,255.0,52.5
2.1500000000000002e-09,260.0,55.0
2.16e-09,265.0,55.0
2.17e-09,270.0,55.0
2.1800000000000003e-09,275.0,55.0
2.19e-09,280.0,55.0
2.2000000000000003e-09,282.5,55.0
2.21e-09,287.5,55.0
2.22e-09,292.5,55.0
2.23e-09,295.0,55.0
2.24e-09,297.5,55.0
2.2500000000000003e-09,302.5,55.0
2.26e-09,305.0,55.0
2.2700000000000002e-09,307.5,55.0
2.28e-09,310.0,55.0
2.29e-09,312.5,55.0
2.3e-09,315.0,55.0
2.31e-09,317.5,55.0
2.3200000000000003e-09,320.0,52.5
2.33e-09,322.5,52.5
2.34e-09,325.0,52.5
2.35e-09,327.5,52.5
2.36e-09,330.0,50.0
2.3700000000000003e-09,335.0,50.0
2.38e-09,337.5,50.0
2.3900000000000002e-09,342.5,50.0
2.4e-09,345.0,50.0
2.41e-09,350.0,50.0
2.4200000000000003e-09,355.0,50.0
2.43e-09,360.0,50.0
2.4400000000000003e-09,365.0,50.0
2.45e-09,372.5,50.0
2.46e-09,377.5,50.0
2.47e-09,385.0,50.0
2.48e-09,392.5,50.0
2.4900000000000003e-09,397.5,50.0
2.5e-09,405.0,50.0
2.5100000000000002e-09,412.5,50.0
2.52e-09,420.0,50.0
2.53e-09,425.0,50.0
2.54e-09,432.5,50.0
2.55e-09,440.0,50.0
2.5600000000000003e-09,447.5,50.0
2.57e-09,452.5,50.0
2.58e-09,460.0,50.0
2.5900000000000004e-09,467.5,50.0
2.6e-09,475.0,50.0
2.61e-09,480.0,50.0
2.62e-09,487.5,50.0
2.6300000000000002e-09,495.0,47.5
2.64e-09,502.5,47.5
2.65e-09,507.5,47.5
2.6600000000000003e-09,515.0,47.5
2.67e-09,522.5,47.5
2.6800000000000003e-09,527.5,47.5
2.69e-09,535.0,47.5
2.7e-09,542.5,47.5
2.74e-09,545.0,47.5
2.7800000000000003e-09,542.5,47.5
2.82e-09,537.5,50.0
2.86e-09,532.5,50.0
2.9000000000000003e-09,527.5,50.0
2.94e-09,525.0,50.0
2.98e-09,520.0,50.0
3.0200000000000003e-09,517.5,47.5
3.06e-09,515.0,47.5
3.1e-09,512.5,47.5
3.1400000000000003e-09,510.0,47.5
3.18e-09,507.5,47.5
3.22e-09,505.0,47.5
3.2600000000000003e-09,505.0,47.5
3.3e-09,502.5,47.5
3.34e-09,502.5,47.5
3.3800000000000003e-09,500.0,47.5
3.42e-09,500.0,47.5
3.46e-09,500.0,47.5
3.5000000000000003e-09,497.5,47.5
3.54e-09,497.5,47.5
3.58e-09,497.5,47.5
3.6200000000000003e-09,495.0,47.5
3.66e-09,495.0,47.5
3.7e-09,495.0,47.5
3.74e-09,495.0,47.5
3.78e-09,495.0,47.5
3.8200000000000005e-09,495.0,47.5
3.86e-09,495.0,47.5
3.9e-09,495.0,47.5
3.94e-09,495.0,47.5
3.98e-09,495.0,47.5
4.020000000000001e-09,495.0,47.5
4.0600000000000005e-09,495.0,47.5
4.1e-09,495.0,47.5
4.14e-09,495.0,47.5
4.18e-09,495.0,47.5
4.22e-09,495.0,47.5
4.26e-09,495.0,47.5
4.3000000000000005e-09,495.0,47.5
4.34e-09,495.0,47.5
4.38e-09,495.0,47.5
4.42e-09,495.0,47.5
4.46e-09,495.0,47.5
4.500000000000001e-09,495.0,47.5
4.5400000000000005e-09,495.0,47.5
4.58e-09,495.0,47.5
4.62e-09,495.0,47.5
4.66e-09,495.0,47.5
4.700000000000001e-09,495.0,47.5
